행정구역코드,행정구역,위도,경도
1154563000,서울특별시 금천구 독산3동,37.47621,126.9052
1154564000,서울특별시 금천구 독산4동,37.47014,126.90374
1154567000,서울특별시 금천구 시흥1동,37.4532,126.90057
1154568000,서울특별시 금천구 시흥2동,37.45053,126.92044
1154569000,서울특별시 금천구 시흥3동,37.44057,126.90693
1154570000,서울특별시 금천구 시흥4동,37.46009,126.90928
1154571000,서울특별시 금천구 시흥5동,37.44902,126.90856
1156054000,서울특별시 영등포구 여의동,37.52795,126.93017
1156055000,서울특별시 영등포구 당산1동,37.52368,126.89687
1156056000,서울특별시 영등포구 당산2동,37.53338,126.90299
1156061000,서울특별시 영등포구 양평1동,37.52561,126.88659
1156062000,서울특별시 영등포구 양평2동,37.54262,126.89081
1156063000,서울특별시 영등포구 신길1동,37.51249,126.92039
1156065000,서울특별시 영등포구 신길3동,37.50689,126.90641
1156066000,서울특별시 영등포구 신길4동,37.50693,126.91317
1156067000,서울특별시 영등포구 신길5동,37.50088,126.90567
1156068000,서울특별시 영등포구 신길6동,37.49847,126.91425
1156069000,서울특별시 영등포구 신길7동,37.50759,126.92234
1156070000,서울특별시 영등포구 대림1동,37.49371,126.905
1156071000,서울특별시 영등포구 대림2동,37.49048,126.90025
1156072000,서울특별시 영등포구 대림3동,37.50011,126.89736
1156051500,서울특별시 영등포구 영등포본동,37.51377,126.91026
1156053500,서울특별시 영등포구 영등포동,37.52265,126.90806
1156058500,서울특별시 영등포구 도림동,37.50881,126.90009
1156060500,서울특별시 영등포구 문래동,37.51571,126.89221
1159052000,서울특별시 동작구 노량진2동,37.51182,126.9377
1159053000,서울특별시 동작구 상도1동,37.49973,126.95216
1159054000,서울특별시 동작구 상도2동,37.50345,126.94109
1159055000,서울특별시 동작구 상도3동,37.49763,126.93233
1159056000,서울특별시 동작구 상도4동,37.49777,126.94138
1159062000,서울특별시 동작구 사당1동,37.47888,126.97717
1159064000,서울특별시 동작구 사당3동,37.4892,126.9701
1159065000,서울특별시 동작구 사당4동,37.4809,126.97084
1159065100,서울특별시 동작구 사당5동,37.48688,126.96492
1159066000,서울특별시 동작구 대방동,37.5069,126.92909
1159067000,서울특별시 동작구 신대방1동,37.49155,126.91186
1159068000,서울특별시 동작구 신대방2동,37.49397,126.92052
1159060500,서울특별시 동작구 흑석동,37.50552,126.96342
1159051000,서울특별시 동작구 노량진1동,37.51226,126.9507
1159063000,서울특별시 동작구 사당2동,37.4958,126.97256
1162052500,서울특별시 관악구 보라매동,37.49042,126.93196
1162054500,서울특별시 관악구 청림동,37.48924,126.95956
1162057500,서울특별시 관악구 행운동,37.48075,126.95904
1162058500,서울특별시 관악구 낙성대동,37.46815,126.9593
1162061500,서울특별시 관악구 중앙동,37.48382,126.95068
1162062500,서울특별시 관악구 인헌동,37.47249,126.96727
1162063000,서울특별시 관악구 남현동,37.46177,126.9786
1162064500,서울특별시 관악구 서원동,37.4802,126.93334
1162065500,서울특별시 관악구 신원동,37.481,126.92591
1162066500,서울특별시 관악구 서림동,37.47391,126.9383
1162068500,서울특별시 관악구 신사동,37.48555,126.91896
1162069500,서울특별시 관악구 신림동,37.48678,126.92853
1162071500,서울특별시 관악구 난향동,37.46147,126.91841
