날짜,식사,메뉴
20260611,석식,백미밥|얼큰어묵국|파채무침|돈육간장불고기|김말이강정|배추김치|호상요구르트(딸기맛)
20260611,중식,친환경현미밥|소고기무국|카레감자채볶음|닭볶음탕|배추김치|푸딩|수제양파고추장아찌
20260612,중식,후리가케김가루밥|미소국|골뱅이야채무침|등심돈가스소스|배추김치|오렌지|모닝마늘빵
20260615,석식,김가루밥|미니우동|떡볶이|고구마튀김|배추김치|청사과아이스티
20260615,중식,칼슘강화기장밥|육개장|도토리묵양념장|코다리조림|치킨샐러드허니머스터드S|깍두기|액상요구르트
20260616,석식,백미밥|아욱된장국|양배추쌈/쌈장|돈육고추장볶음|들기름감자채볶음|회오리핫도그|배추김치|초콜릿칩쿠키
20260616,중식,나물비빔밥고추장|청국장찌개|떡꼬치소스|간고등어구이|배추김치|체리
20260617,석식,백미밥|다시마감자국|참나물무침|야채달걀말이|떡갈비소스|배추김치|코코넛음료
20260617,중식,친환경잡곡밥|팽이장국|매콤콩나물무침|치즈불닭|볼어묵볶음|배추김치|사과앵두스무디
20260618,석식,추가밥|스파게티|감자튀김케찹|배추김치|방울토마토|치즈피자|오이피클
20260618,중식,친환경흑미밥|불마요들기름메밀국수|얼큰동태탕|수육|깻잎지|배추김치|조각파인애플
20260619,중식,카레라이스|파송송달걀국|목살스테이크|배추김치|토마토오이샐러드|초코수리취떡
20260622,석식,치킨마요덮밥|가쓰오브시국|수제퀘사디아|깍두기|키위|양배추샐러드사우전D
20260622,중식,칼슘강화기장밥|얼큰콩나물국|바베큐폭찹|찐두부|건새우마늘쫑볶음|김치볶음|망고우유빙수
20260623,석식,백미밥|감자찌개|찜닭(-감자)|부추무침|새우튀김|배추김치|군밤
20260623,중식,깍두기볶음밥|고명장국|미나리초무침|미트볼데리야끼볶음|스크램블드에그|배추김치|수박
20260624,석식,백미밥|소고기버섯매운탕|돈사태떡찜|고추장멸치볶음|배추김치|십원빵
20260624,중식,친환경현미밥|돈육고추장찌개|단호박오리훈제|두부튀김칠리S|배추김치|귤주스|무쌈
20260625,석식,추가밥|나가사끼짬뽕|짜조칠리파디소스|배추김치|요구르트|아이스망고요거트D
20260625,중식,친환경보리밥|순대국|오이고추된장무침|한입돈가스파채|배식용김|석박지|초당옥수수
20260703,중식,치킨마요덮밥|고명장국|매콤콩나물무침|떡볶이|깍두기|에그타르트
20260706,중식,칼슘강화기장밥|소고기미역국|매운갈비찜|참나물사과무침|햄전|배추김치|케이크
20260707,중식,열무비빔밥|팽이장국|연두부양념장|뿌리채소고구마맛탕|비건김치만두|동치미|청포도
20260708,중식,친환경현미밥|햄찌개|돈육메추리알조림|브로콜리무침|회오리감자|삼치양념구이|깍두기
20260709,중식,친환경잡곡밥|소고기무국|마늘쫑무침|치즈떡닭갈비|어묵볶음|배추김치|시리얼/흰우유
20260710,중식,친환경현미밥|짬뽕국|고추잡채/꽃빵|가지나물|마파두부|배추김치|아이스망고
20260713,중식,친환경칼슘기장밥|맑은콩나물국|버섯잡채|제육볶음|총각김치|사과생크림와플|참치쌈장양배추쌈
20260714,중식,친환경흑미밥|순대국|부추무침|도토리묵무침|지파이|석박지|아이스크림(컵)
20260715,중식,카레라이스|두부된장국|반마리치킨|오이지무침|배추김치|자두슬러시|양배추샐러드사우전D
20260818,중식,친환경칼슘기장밥|해쉬브라운피자|오징어무국|명엽채볶음|콩나물불고기|배추김치|청사과청귤에이드
20260819,중식,친환경잡곡밥|참치김치찌개|간장찜닭|매콤콩나물무침|미니돈가스&파채|깍두기|방울토마토
20260820,중식,친환경흑미밥|돈육감자탕|오이부추무침|떡강정|닭꼬치&매콤소스|석박지|청포도
20260821,중식,김밥맛볶음밥|고명장국|시금치나물|떡볶이|어묵튀김|깍두기|조각파인애플
20260824,중식,친환경칼슘기장밥|전복들깨미역국|숙주나물무침|돈육고추장불고기|동그랑땡&케찹|총각김치|자두맛음료|꿀떡
20260825,중식,깍두기볶음밥|두부된장국|양상추샐러드(오리엔탈D)|스크램블드에그|가자미순살튀김|배추김치|더티초코크로와상
20260826,중식,친환경현미밥|얼갈이된장국|고춧잎나물(초)|치즈불닭|현미육원전|배추김치|고구마도넛
20260827,중식,친환경현미밥|얼큰소고기무국|온두부&김치볶음|들기름감자채볶음|피자핫도그|갈아만든키위주스
20260828,중식,추가밥|스파게티|목살스테이크|소시지+구운야채|깍두기|오이피클|토마토카프레제
20260831,중식,친환경칼슘기장밥|북어국|얼갈이된장무침|미트볼데리야끼볶음|닭볶음탕|배추김치|한라봉주스
